iter	Logloss
0	0.6580339844
1	0.6279847656
2	0.6028076904
3	0.581127356
4	0.5621821289
5	0.5472827881
6	0.5341886108
7	0.522832312
8	0.5132947388
9	0.5046529297
10	0.4971251831
11	0.4916061157
12	0.4853299805
13	0.4808713135
14	0.4767255371
15	0.4725470337
16	0.4691576416
17	0.4668021484
18	0.464204248
19	0.4621118652
20	0.4603750244
21	0.4583768555
22	0.456966333
23	0.4558228271
24	0.4548563843
25	0.4535005493
26	0.4520805054
27	0.4510799194
28	0.4500852295
29	0.4494185791
30	0.448646875
31	0.4479993774
32	0.4474405884
33	0.4470226074
34	0.4466437012
35	0.4462654663
36	0.4457148926
37	0.4451713501
38	0.444862561
39	0.4444551025
40	0.4441116333
41	0.4437893677
42	0.443486438
43	0.4431328491
44	0.4428358521
45	0.4425960693
46	0.4423637573
47	0.4421075195
48	0.4419256836
49	0.4416970459
50	0.4414961182
51	0.4412966919
52	0.4411329712
53	0.4409435303
54	0.4406579346
55	0.4404608887
56	0.4403102295
57	0.4401524658
58	0.4400087402
59	0.4398796143
60	0.4397088867
61	0.4394362183
62	0.4393009888
63	0.4391957397
64	0.4389345337
65	0.4388075684
66	0.4386128906
67	0.4384638794
68	0.4382876831
69	0.4381122803
70	0.437984729
71	0.4378700073
72	0.4377643188
73	0.4376142822
74	0.4374097168
75	0.4372720459
76	0.4371298218
77	0.4369830444
78	0.4368876587
79	0.4367825439
80	0.4366510742
81	0.4364937988
82	0.4363800293
83	0.4362449097
84	0.4361134888
85	0.4359984985
86	0.4358729858
87	0.4357648804
88	0.4356211548
89	0.435522998
90	0.4354002197
91	0.4352868408
92	0.4351756714
93	0.4350227417
94	0.4349139404
95	0.434815918
96	0.4346946045
97	0.4345878174
98	0.434468457
99	0.4343134399
100	0.4341320923
101	0.4340056274
102	0.4339231201
103	0.4338258789
104	0.4337595093
105	0.4336455811
106	0.4335508423
107	0.4334660034
108	0.4333465088
109	0.4332443481
110	0.4331458496
111	0.4330826904
112	0.432996228
113	0.4329020386
114	0.4327966431
115	0.4327093018
116	0.4326200928
117	0.4325391235
118	0.4324128418
119	0.4323560059
120	0.4322563232
121	0.4321573975
122	0.4320088501
123	0.4319389404
124	0.4318302979
125	0.4316980713
126	0.4316148437
127	0.4315064087
128	0.431360498
129	0.4313001831
130	0.4311907837
131	0.4311183594
132	0.431033667
133	0.4309315186
134	0.430845166
135	0.4307187378
136	0.4306463135
137	0.4305562012
138	0.4304497559
139	0.4303738281
140	0.4302943359
141	0.430190918
142	0.4300867187
143	0.4299993164
144	0.4299337402
145	0.4298440796
146	0.4297342651
147	0.4296547241
148	0.429572168
149	0.429465918
150	0.4294077148
151	0.4292159668
152	0.4291170288
153	0.4290364624
154	0.428953064
155	0.4288533691
156	0.4287439941
157	0.4286730347
158	0.4285429443
159	0.4284714111
160	0.4283529053
161	0.428290686
162	0.4281903564
163	0.4280424194
164	0.4279460205
165	0.4278732422
166	0.4277728882
167	0.4277164307
168	0.4276173828
169	0.4275333374
170	0.4274178101
171	0.4273066162
172	0.4272399048
173	0.4271209595
174	0.4270340698
175	0.4269473145
176	0.4268790894
177	0.4267702759
178	0.4266824219
179	0.4265831421
180	0.426514209
181	0.4264514282
182	0.4263470337
183	0.4262294067
184	0.4261613037
185	0.4260803223
186	0.4260045532
187	0.425917749
188	0.4258448364
189	0.4257510742
190	0.4256634277
191	0.4255802856
192	0.4254779541
193	0.4253997559
194	0.4252609863
195	0.4251450928
196	0.4250706299
197	0.424979541
198	0.4248916016
199	0.424813269
200	0.4247437866
201	0.4246656372
202	0.4245653687
203	0.4244758057
204	0.4243957031
205	0.4243269531
206	0.4242491455
207	0.4241676147
208	0.4240868286
209	0.4239832886
210	0.4238675781
211	0.4237910156
212	0.4237050537
213	0.4236104614
214	0.4235438599
215	0.4234516113
216	0.4233885864
217	0.4232820801
218	0.4231890869
219	0.42312771
220	0.4230526489
221	0.4229715576
222	0.4228941284
223	0.4227884277
224	0.4227140381
225	0.4226278809
226	0.4225404053
227	0.4224589355
228	0.4223788208
229	0.422280127
230	0.4222036133
231	0.422128125
232	0.4220436646
233	0.4219790527
234	0.4219015747
235	0.421804834
236	0.4217306641
237	0.4216512939
238	0.4215792603
239	0.4215116943
240	0.4214508667
241	0.4213317627
242	0.4212725464
243	0.4212248413
244	0.421168457
245	0.4211018066
246	0.4210475708
247	0.4209673096
248	0.4208991577
249	0.4208146118
250	0.4207529053
251	0.420677063
252	0.4205966064
253	0.4205291016
254	0.4204599365
255	0.4203937744
256	0.4203344116
257	0.4202549805
258	0.4201724731
259	0.420053125
260	0.4199810181
261	0.4198991821
262	0.4198156738
263	0.4197246094
264	0.4196507324
265	0.4195884644
266	0.4194868286
267	0.419408252
268	0.419318811
269	0.4192370239
270	0.4191935547
271	0.4191342529
272	0.4190727295
273	0.4189768188
274	0.418887085
275	0.4188142822
